,summary,cluster,new_cluster
0,"Неправильное обслуживание на кассе, отсутствие информации о сертификатах и скидках. Непрофессиональное поведение сотрудников. Неправильное использование браслетов, отсутствие объяснений. Неудобства из-за необходимости объясняться перед сотрудниками. Неправильное решение проблемы в конце дня.",0,0
1,Отель выглядит как 5-звёздочный отель 1990-х годов.,10,2
2,"Разочарование от отдыха, несоответствие 5 звездам. Уставшие номера, плохие матрасы, неподходящие халаты и тапочки. Шум от перфоратора ночью. Негативное впечатление от отеля.",2,6
3,"Отравление всей семьи, необходимость лечения. Отказ администрации в компенсации.",14,2
4,"Отравление всей семьи, отказ администрации в компенсации.",14,2
5,"Проблемы с бронированием столика в ресторане, долгий звонок и срыв связи.",5,0
6,"Номера не соответствуют ожиданиям, порванная простыня, пятно на ковре. Завтраки хорошие, территория ухоженная, рестораны вкусные, детям понравилось.",2,6
7,"Отель выглядит дорого, но внутренняя отделка устарела. Средний уровень обслуживания, шумные рестораны, интересные локации. Проблемы с электрокаром.",10,2
8,"Некомпетентные сотрудники, неправильная информация о возврате денег. Долгое ожидание возврата, игнорирование запросов. Красивая локация, но плохой сервис.",0,0
9,"Проблемы с кондиционером, плохое питание, неудобства в номере. Желание вернуть деньги.",2,6
10,"Плохое приветствие, долгая доставка вещей и кровати. Грязный номер, неработающие карусели и бассейн. Несоответствие цены и качества.",2,6
11,"Проблемы с бронированием, долгий заезд, неудобные спальные места. Негативное впечатление от обслуживания.",2,6
12,"Проблемы с зеркалами в номере, шумные рестораны, плохое обслуживание. Неудобства из-за толпы и некомпетентного персонала.",2,6
13,"Проблемы с питанием, уборкой, шумом, высокими ценами. Плохое обслуживание.",7,4
14,Неоправданно высокая цена.,4,1
15,"Проблемы с доступом в отель после 9 вечера, плохое обслуживание. Негативное впечатление от отеля.",2,6
16,"Грязные номера, устаревшие матрасы, маленький СПА и бассейн. Проблемы с питанием и арендой. Красивая территория, но плохой сервис.",2,6
17,"Проблемы с кондиционером, техникой, грубый персонал. Грязные номера, плохое обслуживание.",2,6
18,"Проблемы с телевизорами, плохое обслуживание, уборка только кроватей. Плохое обслуживание.",2,5
19,"Неработающие винный робот, пруд с карпами, купели. Проблемы с бронированием.",5,0
20,"Плохой кофе, высокая цена.",4,1
21,"Закрытый доступ в ресторан AZURR для посетителей ""дня мечты"". Проблемы с питанием.",17,2
22,"Плохое обслуживание, проблемы с машиной, отсутствие помощи. Негативное впечатление.",0,0
23,Негативное впечатление от отдыха.,8,2
24,"Проблемы с детским халатом, уборкой, зубной пастой. Неудобства при переезде, плохое обслуживание.",2,5
25,"Проблемы с поздравлениями, кроватями, детским халатом, уборкой. Негативное впечатление от обслуживания.",2,5
26,"Плохое обслуживание, грязные номера, плохой сервис.",2,5
27,"Проблемы с билетами для детей, неработающие аттракционы, плохое обслуживание.",13,2
28,"Грязный отель, несоответствие 5 звездам.",10,2
29,"Проблемы с возвратом предоплаты, отказ в помощи.",0,0
30,"Плохое обслуживание, проблемы с ресторанами, неудобства. Негативное впечатление.",7,4
31,Расчёт на доверчивых граждан.,18,2
32,"Проблемы с уборкой, плохое впечатление.",2,5
33,"Проблемы с заселением, прозрачные двери, плохое обслуживание.",2,5
34,Негативное впечатление от отдыха.,8,2
