model,accuracy,f1,f1_weighted,f1_macro
sismetanin/sbert-ru-sentiment-rusentiment,0.8578540713540455,0.7049241637738879,0.8548496616913158,0.7980781592506186
sismetanin/mbart_ru_sum_gazeta-ru-sentiment-rusentiment,0.8385408985195483,0.6625364574797391,0.8348422630397919,0.7695665733546643
seara/rubert-tiny2-russian-sentiment,0.7201107868968902,0.6497392109521775,0.7227114086476082,0.6928113177057823
blanchefort/rubert-base-cased-sentiment-rurewiews,0.729443258290531,0.5627022716323226,0.7499607511241136,0.6570948647964473
kartashoffv/vashkontrol-sentiment-rubert,0.7611917694826871,0.4916148590057718,0.7619845763981724,0.6525173218946955
tabularisai/multilingual-sentiment-analysis,0.7185827682811365,0.4748256543959335,0.734957452903508,0.6254911798269326
blanchefort/rubert-base-cased-sentiment,0.4411206927013744,0.33346165529495747,0.4423844157093025,0.3994163754539091
MonoHime/rubert_conversational_cased_sentiment,0.44161572877522765,0.27425092315680016,0.3855412656764197,0.34395467969877574
rajora/distilbert-multilingual-sentiment,0.5748561949547755,0.10754565630397372,0.5551971758282631,0.40815494930682444
cointegrated/rubert-tiny-sentiment-balanced,0.17776613061892865,0.06800540987364699,0.17787813531338337,0.1578888748478996
sismetanin/rubert-ru-sentiment-rureviews,0.31653968075773325,0.05651705424577095,0.34757012689777156,0.25758708634673416
sismetanin/mbart_ru_sum_gazeta-ru-sentiment-rureviews,0.2909129278893587,0.04524587730989957,0.3226362677265419,0.23585875532312273
